Description,Code,Number_of_jobs_(thousand),Median,Annual_percentage_change,Mean,Annual_percentage_change,Percentiles_10,Percentiles_20,Percentiles_25,Percentiles_30,Percentiles_40,Percentiles_60,Percentiles_70,Percentiles_75,Percentiles_80,Percentiles_90,,,,,,,,
United Kingdom,K02000001,"28,210",613.5,6.7,716.4,6.9,214.7,360.4,429.0,466.7,536.6,705.2,819.7,888.4,968.5,"1,249.9",,,,,,,,
North East,E12000001,956,556.7,7.2,619.9,6.8,201.3,325.7,391.4,440.8,496.5,631.0,718.7,777.0,848.1,"1,046.6",,Key,Statistical robustness,,,,,
"North East, Age 18-21",,45,293.3,-3.4,309.3,1.6,x,120.5,153.5,178.0,217.0,386.0,441.5,460.0,470.0,x,, CV <= 5% , Estimates are considered precise  ,,,,,
"North East, Age 22-29",,157,514.7,3.3,532.7,5.7,211.9,364.2,422.4,445.8,480.7,572.7,627.1,651.6,697.9,799.2,, CV > 5% and <= 10% , Estimates are considered reasonably precise ,,,,,
"North East, Age 30-39",,227,613.3,7.0,659.2,8.8,259.1,406.5,459.7,490.1,553.7,687.5,767.0,822.1,886.3,"1,069.3",, CV > 10% and <= 20% , Estimates are considered acceptable ,,,,,
"North East, Age 40-49",,214,638.1,7.1,715.0,5.5,274.6,429.0,466.4,497.9,557.7,725.3,859.8,916.3,976.5,"1,176.9",, x = CV > 20% , Estimates are considered unreliable for practical purposes ,,,,,
"North East, Age 50-59",,200,574.9,7.6,681.1,8.6,240.9,352.4,419.1,457.7,516.5,670.8,770.4,824.9,896.4,"1,196.9",, .. = disclosive ,,,,,,
"North East, Age 60+",,104,458.8,5.8,533.7,8.4,163.4,239.0,272.0,306.2,389.6,524.5,600.4,654.9,720.6,x,, : = not applicable ,,,,,,
North West,E12000002,"2,964",594.0,7.6,678.2,8.2,224.2,364.8,428.7,460.9,527.0,678.4,787.5,848.3,927.0,"1,164.8",, - = nil or negligible  ,,,,,,
"North West, Age 18-21",,136,301.0,22.2,303.5,8.1,69.0,119.8,143.6,167.0,228.4,359.7,429.0,451.3,467.7,536.3,,,,,,,,
"North West, Age 22-29",,497,562.5,8.7,588.0,7.4,259.1,429.0,454.3,476.8,516.6,613.3,678.3,712.2,763.9,891.2,,,,,,,,
"North West, Age 30-39",,724,659.0,7.9,720.2,8.1,283.4,438.8,475.2,510.6,574.9,739.0,835.0,895.2,973.8,"1,196.5",,,,,,,,
"North West, Age 40-49",,666,680.2,6.4,784.3,8.7,285.3,433.2,474.3,515.8,589.8,797.5,904.1,970.5,"1,060.9","1,331.8",,,,,,,,
"North West, Age 50-59",,621,627.1,5.0,743.2,6.2,262.3,406.5,454.3,482.1,550.5,717.6,848.1,919.9,999.5,"1,290.6",,,,,,,,
"North West, Age 60+",,294,488.8,10.6,574.5,12.2,171.7,240.9,282.8,326.3,416.3,560.0,657.3,724.5,797.1,"1,034.9",,,,,,,,
