Description,Code,Number_of_jobs_(thousand),Median,Annual_percentage_change,Mean,Annual_percentage_change,Percentiles_10,Percentiles_20,Percentiles_25,Percentiles_30,Percentiles_40,Percentiles_60,Percentiles_70,Percentiles_75,Percentiles_80,Percentiles_90,,,,,,,,
Yorkshire and The Humber,E12000003,"2,208",574.9,7.1,652.8,8.0,222.7,358.8,418.6,455.0,512.1,654.4,752.3,816.3,885.5,"1,100.6",,,,,,,,
"Yorkshire and The Humber, Age 18-21",,92,294.7,5.2,311.9,6.6,68.7,115.8,140.7,173.4,221.0,369.4,441.5,460.0,492.4,560.4,,,,,,,,
"Yorkshire and The Humber, Age 22-29",,366,532.8,6.5,548.9,6.9,258.7,417.7,440.8,460.0,492.1,574.9,620.3,652.6,690.9,822.6,,,,,,,,
"Yorkshire and The Humber, Age 30-39",,544,639.0,7.8,692.3,7.6,286.0,433.6,470.6,498.3,567.4,715.6,809.3,859.8,923.1,"1,118.9",,,,,,,,
"Yorkshire and The Humber, Age 40-49",,483,663.5,4.9,749.8,6.5,274.6,435.1,470.8,506.6,576.8,756.2,881.5,928.8,"1,006.2","1,271.0",,,,,,,,
"Yorkshire and The Humber, Age 50-59",,483,618.1,8.1,722.0,10.1,242.0,375.1,430.2,466.4,533.4,704.3,817.6,883.3,958.2,"1,250.1",,,,,,,,
"Yorkshire and The Humber, Age 60+",,221,469.1,7.1,550.5,5.1,158.3,235.1,273.3,317.4,393.8,540.0,638.0,691.9,765.7,"1,010.9",,,,,,,,
East Midlands,E12000004,"1,890",565.0,7.2,629.0,6.7,191.5,322.9,394.0,441.9,499.9,635.7,730.5,792.1,862.4,"1,079.7",,,,,,,,
"East Midlands, Age 18-21",,90,272.4,-7.3,307.3,4.4,56.5,102.8,117.8,144.2,194.3,375.3,442.0,463.3,491.7,575.4,,,,,,,,
"East Midlands, Age 22-29",,302,544.4,8.2,554.4,6.5,222.2,391.3,437.3,458.4,498.3,585.0,637.9,670.8,715.8,833.7,,,,,,,,
"East Midlands, Age 30-39",,456,599.1,5.0,654.6,6.7,249.3,395.6,445.8,480.5,536.6,679.6,776.8,829.2,890.6,"1,077.9",,,,,,,,
"East Midlands, Age 40-49",,402,635.9,5.8,722.9,5.5,258.6,419.0,458.3,490.1,563.4,728.3,843.2,905.9,976.8,"1,242.9",,,,,,,,
"East Midlands, Age 50-59",,411,607.7,9.3,694.8,8.9,240.9,360.6,427.8,461.0,530.9,693.2,802.9,865.5,954.3,"1,214.5",,,,,,,,
"East Midlands, Age 60+",,206,478.3,3.1,564.3,6.9,140.7,233.0,273.5,319.8,418.2,543.3,642.9,694.2,766.6,996.6,,,,,,,,
West Midlands,E12000005 ,"2,227",582.4,5.3,667.8,6.0,211.0,352.0,415.9,456.0,514.3,669.7,766.6,829.2,900.2,"1,134.9",,,,,,,,
"West Midlands, Age 18-21",,88,282.9,11.5,302.4,,77.6,115.0,138.7,163.6,212.4,339.7,417.6,442.5,470.2,559.4,,,,,,,,
"West Midlands, Age 22-29",,366,549.6,6.3,603.3,9.7,237.1,407.9,442.3,464.1,502.0,597.9,658.3,688.3,722.9,861.3,,,,,,,,
"West Midlands, Age 30-39",,534,650.0,6.2,702.9,6.7,267.4,429.0,466.4,496.2,570.9,721.9,817.6,868.4,931.5,"1,117.3",,,,,,,,
"West Midlands, Age 40-49",,490,667.6,5.6,753.8,4.7,288.0,429.7,467.5,500.0,574.1,765.6,881.6,959.8,"1,043.7","1,293.8",,,,,,,,
"West Midlands, Age 50-59",,482,618.7,6.0,730.0,8.0,245.6,389.1,438.8,468.3,538.6,711.2,839.4,906.3,"1,006.2","1,293.7",,,,,,,,
"West Midlands, Age 60+",,244,481.9,6.1,575.2,6.7,153.4,247.1,286.0,329.0,416.7,558.9,652.5,700.4,778.4,"1,006.2",,,,,,,,
East,E12000006,"2,504",590.3,5.5,686.7,8.9,193.1,313.4,380.4,440.3,512.7,680.4,792.9,862.4,945.1,"1,195.9",,,,,,,,
"East, Age 18-21",,114,314.5,8.4,317.8,7.9,84.3,129.4,155.5,182.8,240.3,365.9,427.6,452.6,479.4,557.9,,,,,,,,
"East, Age 22-29",,379,555.8,2.9,628.0,11.9,246.0,391.5,439.9,464.9,508.9,607.6,674.3,718.7,766.6,916.8,,,,,,,,
"East, Age 30-39",,597,650.8,6.2,709.6,7.4,238.6,378.2,446.7,486.9,572.9,738.7,841.6,908.8,984.4,"1,208.3",,,,,,,,
"East, Age 40-49",,578,677.1,6.4,771.8,9.1,240.9,374.2,445.7,490.0,580.7,786.8,903.8,963.6,"1,054.1","1,351.1",,,,,,,,
"East, Age 50-59",,525,632.4,7.8,773.0,11.1,219.9,352.1,424.7,462.3,542.2,730.0,862.4,941.0,"1,025.9","1,341.8",,,,,,,,
"East, Age 60+",,279,499.7,4.6,595.5,3.4,157.2,236.6,272.2,323.7,422.5,587.2,691.2,756.2,843.3,"1,120.5",,,,,,,,
London,E12000007,"4,453",790.4,6.5,966.1,6.6,264.5,478.0,530.7,580.3,682.2,917.6,"1,074.3","1,176.7","1,299.4","1,724.9",,,,,,,,
"London, Age 18-21",,125,282.9,-3.7,320.3,-2.0,54.0,115.0,144.1,166.1,219.3,372.1,458.9,479.7,505.8,594.0,,,,,,,,
"London, Age 22-29",,957,684.6,5.0,742.3,1.9,305.1,488.7,527.0,557.5,622.9,754.8,840.6,900.8,971.8,"1,202.2",,,,,,,,
"London, Age 30-39",,"1,300",897.7,4.7,"1,043.6",5.9,394.3,564.8,625.0,679.3,789.6,"1,030.0","1,181.5","1,278.7","1,395.8","1,791.9",,,,,,,,
"London, Age 40-49",,985,896.3,3.4,"1,111.1",1.9,281.6,499.0,569.7,624.7,756.7,"1,034.9","1,244.7","1,361.9","1,530.3","2,120.4",,,,,,,,
"London, Age 50-59",,737,869.0,10.6,"1,095.5",10.6,284.0,485.5,545.6,604.3,732.8,"1,015.7","1,207.4","1,303.5","1,455.7","1,956.3",,,,,,,,
"London, Age 60+",,331,666.1,15.2,877.3,17.0,208.5,330.5,394.9,465.1,564.8,766.7,924.4,"1,013.5","1,147.6","1,588.6",,,,,,,,
South East,E12000008,"3,949",634.1,6.9,727.2,6.9,215.9,374.1,438.2,479.1,552.7,728.3,848.3,919.9,"1,002.7","1,288.1",,,,,,,,
"South East, Age 18-21",,155,277.3,-2.0,302.3,3.0,69.0,114.8,137.2,159.9,214.5,358.8,426.4,451.6,474.3,530.2,,,,,,,,
"South East, Age 22-29",,611,574.9,3.4,597.0,3.4,262.0,433.0,460.0,481.9,533.3,625.6,688.0,715.2,760.8,899.9,,,,,,,,
"South East, Age 30-39",,944,689.9,5.7,749.1,4.8,280.8,457.6,498.0,534.9,612.6,776.0,881.5,944.9,"1,012.9","1,245.7",,,,,,,,
"South East, Age 40-49",,924,737.9,7.0,844.6,7.7,262.8,437.0,488.9,536.6,634.6,852.8,981.2,"1,058.1","1,153.8","1,463.5",,,,,,,,
"South East, Age 50-59",,851,694.8,6.8,820.8,5.7,251.9,422.7,470.6,512.0,597.1,812.5,951.6,"1,032.2","1,149.9","1,500.7",,,,,,,,
"South East, Age 60+",,421,542.4,10.1,640.4,10.2,171.2,252.9,302.1,359.2,456.1,627.1,762.2,836.6,924.9,"1,224.8",,,,,,,,
South West,E12000009,"2,317",575.6,6.8,643.7,5.9,192.3,328.0,398.6,445.9,508.3,661.8,754.1,816.4,882.4,"1,113.1",,,,,,,,
"South West, Age 18-21",,112,277.2,6.8,288.0,1.1,54.7,92.7,123.5,145.3,197.1,345.1,425.3,443.9,467.5,524.5,,,,,,,,
"South West, Age 22-29",,357,547.2,8.3,564.5,6.9,239.4,417.3,447.0,468.0,504.5,591.9,650.0,678.3,722.7,843.1,,,,,,,,
"South West, Age 30-39",,555,651.6,9.1,693.9,7.5,281.1,436.7,479.1,509.9,579.7,723.8,816.0,862.4,921.2,"1,107.4",,,,,,,,
"South West, Age 40-49",,510,658.8,5.6,742.1,5.4,249.9,400.1,453.6,497.0,572.7,740.3,852.9,919.9,"1,006.2","1,296.6",,,,,,,,
"South West, Age 50-59",,502,602.7,3.8,700.1,3.4,225.6,345.0,408.3,455.5,526.3,704.6,825.6,894.4,976.5,"1,251.5",,,,,,,,
"South West, Age 60+",,252,483.6,9.9,554.6,11.1,151.4,229.9,272.8,321.5,421.4,560.5,664.7,712.6,785.8,992.6,,,,,,,,
Wales,W92000004,"1,233",565.7,5.4,620.5,5.1,198.5,336.2,399.0,443.7,496.4,642.3,739.2,799.1,860.1,"1,042.5",,,,,,,,
"Wales, Age 18-21",,60,302.3,12.1,309.0,5.5,59.4,107.9,132.5,168.4,245.8,364.1,420.4,441.9,457.3,x,,,,,,,,
"Wales, Age 22-29",,185,527.2,6.4,545.6,5.0,201.0,353.5,412.2,445.4,480.7,586.8,646.7,685.3,726.1,848.9,,,,,,,,
"Wales, Age 30-39",,292,614.7,6.7,666.8,7.0,277.1,438.7,470.2,497.4,557.9,697.8,783.8,839.1,893.1,"1,056.0",,,,,,,,
"Wales, Age 40-49",,269,656.1,3.7,722.6,3.4,274.6,431.7,461.6,490.3,565.8,747.1,854.0,907.3,980.7,"1,188.3",,,,,,,,
"Wales, Age 50-59",,277,594.7,9.3,662.5,8.3,219.8,356.5,425.2,457.8,524.8,682.5,785.1,844.0,907.3,"1,150.0",,,,,,,,
"Wales, Age 60+",,137,457.9,2.3,522.4,1.4,139.2,224.9,259.2,300.8,390.1,519.3,606.0,670.8,750.9,933.8,,,,,,,,
Scotland,S92000003 ,"2,449",612.2,4.2,686.0,3.4,213.9,357.4,424.9,467.4,536.3,705.6,818.6,883.5,935.5,"1,173.7",,,,,,,,
"Scotland, Age 18-21",,105,280.5,3.5,307.3,2.8,89.7,133.8,150.0,177.4,226.0,363.6,426.2,449.5,469.5,533.9,,,,,,,,
"Scotland, Age 22-29",,368,562.7,2.8,579.1,1.2,214.7,377.2,438.2,466.6,509.7,621.6,691.7,730.3,776.5,916.3,,,,,,,,
"Scotland, Age 30-39",,557,669.5,5.1,715.0,3.5,261.8,428.9,477.2,517.0,584.4,747.6,855.2,917.1,959.8,"1,178.5",,,,,,,,
"Scotland, Age 40-49",,574,722.9,3.2,803.0,3.0,300.0,460.8,501.3,546.4,623.0,827.5,929.8,978.7,"1,044.4","1,341.6",,,,,,,,
"Scotland, Age 50-59",,551,644.6,3.4,753.2,4.0,254.1,402.9,457.2,493.5,565.4,751.5,883.5,929.8,"1,022.2","1,308.2",,,,,,,,
"Scotland, Age 60+",,276,498.5,3.2,576.0,3.2,167.7,247.6,292.8,343.4,428.3,575.4,673.6,735.5,819.4,"1,032.8",,,,,,,,
Northern Ireland,N92000002,"1,060",559.2,7.1,621.4,3.8,183.0,316.6,383.4,437.3,498.6,635.4,732.9,787.5,834.0,"1,048.1",,,,,,,,
Not Classified,,:,,,,,,,,,,,,,,,,,,,,,,
a  Employees on adult rates whose pay for the survey pay-period was not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS).,,,,,,,,,,,,,,,,,,,,,,,,
b  Figures for Number of Jobs are for indicative purposes only and should not be considered an accurate estimate of employee job counts.,,,,,,,,,,,,,,,,,,,,,,,,
"KEY - The colour coding indicates the quality of each estimate;  jobs, median, mean and percentiles but not the annual percentage change. ",,,,,,,,,,,,,,,,,,,,,,,,
"The quality of an estimate is measured by its coefficient of variation (CV), which is the ratio of the standard error of an estimate to the estimate.",,,,,,,,,,,,,,,,,,,,,,,,
"Source: Annual Survey of Hours and Earnings, Office for National Statistics.",,,,,,,,,,,,,,,,,,,,,,,,
