Description,Code,Number_of_jobs_(thousand),Median,Annual_percentage_change,Mean,Annual_percentage_change,Percentiles_10,Percentiles_20,Percentiles_25,Percentiles_30,Percentiles_40,Percentiles_60,Percentiles_70,Percentiles_75,Percentiles_80,Percentiles_90,,,,,,,,
United Kingdom,K02000001," 27,498 ", 533.7 ,5.7 , 623.3 ,4.5 , 180.6 , 301.0 , 358.6 , 395.0 , 462.6 , 619.1 , 726.4 , 787.2 , 862.4 ," 1,098.2 ",,,,,,,,
North East,E12000001," 1,015 ", 480.8 ,4.8 , 541.9 ,3.9 , 164.6 , 270.8 , 321.6 , 365.9 , 418.9 , 549.7 , 636.7 , 688.1 , 752.5 , 936.2 ,,Key,Statistical robustness,,,,,
"North East, Age 18-21",, 50 , 241.4 ,6.3 , 255.1 ,8.1 , 61.3 , 104.5 , 127.1 , 145.0 , 187.5 , 285.0 , 341.5 , 368.2 , 385.2 , x ,, CV <= 5% , Estimates are considered precise  ,,,,,
"North East, Age 22-29",, 160 , 462.4 ,9.2 , 480.0 ,7.7 , 192.6 , 304.0 , 353.5 , 380.8 , 420.6 , 517.9 , 574.9 , 605.7 , 635.1 , 747.2 ,, CV > 5% and <= 10% , Estimates are considered reasonably precise ,,,,,
"North East, Age 30-39",, 237 , 523.3 ,5.3 , 565.4 ,4.6 , 204.0 , 332.6 , 375.6 , 407.0 , 465.1 , 592.4 , 675.3 , 720.3 , 787.9 , 952.5 ,, CV > 10% and <= 20% , Estimates are considered acceptable ,,,,,
"North East, Age 40-49",, 233 , 555.6 ,3.5 , 628.5 ,1.5 , 227.6 , 355.8 , 391.8 , 412.6 , 477.7 , 653.4 , 762.5 , 811.8 , 863.3 ," 1,064.2 ",, x = CV > 20% , Estimates are considered unreliable for practical purposes ,,,,,
"North East, Age 50-59",, 219 , 496.9 ,5.8 , 591.8 ,6.7 , 196.2 , 289.1 , 331.8 , 375.2 , 432.6 , 564.9 , 660.6 , 713.8 , 770.1 , 987.0 ,, .. = disclosive ,,,,,,
"North East, Age 60+",, 104 , 399.6 ,5.1 , 474.4 ,4.1 , 136.0 , 205.3 , 243.2 , 274.0 , 349.8 , 456.7 , 531.6 , 582.2 , 676.5 , x ,, : = not applicable ,,,,,,
North West,E12000002," 2,840 ", 504.6 ,5.3 , 580.9 ,5.8 , 180.5 , 297.6 , 351.5 , 383.9 , 440.0 , 582.6 , 681.3 , 747.1 , 808.8 ," 1,031.8 ",, - = nil or negligible  ,,,,,,
"North West, Age 18-21",, 124 , 233.5 ,10.4 , 265.1 ,6.3 , 59.2 , 105.0 , 129.0 , 147.4 , 191.6 , 288.8 , 363.6 , 390.0 , 407.5 , 474.3 ,,,,,,,,
"North West, Age 22-29",, 479 , 474.1 ,8.5 , 504.3 ,8.5 , 227.9 , 352.2 , 379.3 , 398.6 , 433.0 , 518.6 , 575.1 , 615.5 , 657.2 , 773.4 ,,,,,,,,
"North West, Age 30-39",, 686 , 566.7 ,6.6 , 621.7 ,7.2 , 230.0 , 358.8 , 394.5 , 424.1 , 491.6 , 639.7 , 739.0 , 787.8 , 860.0 ," 1,050.1 ",,,,,,,,
"North West, Age 40-49",, 633 , 584.7 ,6.5 , 675.0 ,6.6 , 232.8 , 358.6 , 398.1 , 430.3 , 505.0 , 687.0 , 801.0 , 868.6 , 939.9 ," 1,168.4 ",,,,,,,,
"North West, Age 50-59",, 616 , 541.8 ,6.4 , 634.4 ,3.6 , 227.2 , 334.5 , 378.5 , 408.1 , 466.2 , 628.1 , 739.8 , 803.0 , 881.8 ," 1,127.2 ",,,,,,,,
"North West, Age 60+",, 267 , 397.6 ,4.7 , 478.4 ,7.4 , 128.0 , 194.7 , 229.8 , 262.4 , 337.4 , 458.5 , 545.3 , 598.6 , 673.9 , 891.9 ,,,,,,,,
Yorkshire and The Humber,E12000003," 2,112 ", 496.8 ,6.6 , 563.1 ,4.9 , 172.5 , 287.2 , 343.3 , 381.8 , 436.4 , 567.6 , 654.5 , 714.0 , 780.9 , 987.7 ,,,,,,,,
"Yorkshire and The Humber, Age 18-21",, 90 , 253.1 ,-1.6 , 263.1 ,-3.1 , 50.3 , 95.7 , 114.6 , 135.7 , 186.1 , 314.7 , 366.2 , 394.5 , 420.2 , 479.2 ,,,,,,,,
"Yorkshire and The Humber, Age 22-29",, 358 , 475.3 ,6.8 , 495.5 ,5.9 , 209.4 , 352.1 , 379.8 , 397.6 , 433.2 , 517.9 , 567.9 , 597.1 , 645.5 , 765.0 ,,,,,,,,
"Yorkshire and The Humber, Age 30-39",, 506 , 536.6 ,4.8 , 594.7 ,6.2 , 228.0 , 347.5 , 387.0 , 417.0 , 479.1 , 613.2 , 706.9 , 761.3 , 807.2 ," 1,015.9 ",,,,,,,,
"Yorkshire and The Humber, Age 40-49",, 474 , 574.5 ,6.2 , 650.7 ,4.8 , 227.9 , 358.5 , 397.4 , 430.6 , 493.4 , 659.6 , 777.7 , 837.7 , 902.8 ," 1,124.2 ",,,,,,,,
"Yorkshire and The Humber, Age 50-59",, 460 , 525.7 ,8.5 , 613.9 ,4.9 , 199.2 , 307.9 , 358.4 , 387.8 , 448.3 , 608.9 , 708.6 , 769.6 , 837.8 ," 1,086.5 ",,,,,,,,
"Yorkshire and The Humber, Age 60+",, 202 , 399.1 ,11.8 , 467.2 ,7.6 , 121.0 , 191.7 , 224.6 , 255.4 , 327.2 , 463.9 , 540.9 , 580.7 , 646.9 , 860.5 ,,,,,,,,
