Description,Code,Number_of_jobs_(thousand),Median,Annual_percentage_change,Mean,Annual_percentage_change,Percentiles_10,Percentiles_20,Percentiles_25,Percentiles_30,Percentiles_40,Percentiles_60,Percentiles_70,Percentiles_75,Percentiles_80,Percentiles_90,,,,,,,,
East Midlands,E12000004," 1,825 ", 495.7 ,5.2 , 557.5 ,4.0 , 171.1 , 279.0 , 328.7 , 373.8 , 433.1 , 568.5 , 654.6 , 708.4 , 769.2 , 960.7 ,,,,,,,,
"East Midlands, Age 18-21",, 85 , 245.0 ,6.6 , 261.1 ,7.4 , 50.5 , 85.6 , 106.1 , 131.4 , 178.4 , 306.6 , 356.1 , 379.9 , 400.0 , 475.4 ,,,,,,,,
"East Midlands, Age 22-29",, 290 , 475.6 ,6.0 , 493.5 ,7.1 , 204.1 , 331.7 , 369.7 , 391.9 , 429.1 , 518.6 , 575.5 , 609.0 , 654.9 , 767.6 ,,,,,,,,
"East Midlands, Age 30-39",, 415 , 537.3 ,5.6 , 587.0 ,5.0 , 214.1 , 325.7 , 377.7 , 414.7 , 472.2 , 608.8 , 695.4 , 741.5 , 788.1 , 958.2 ,,,,,,,,
"East Midlands, Age 40-49",, 409 , 567.5 ,6.7 , 645.9 ,3.1 , 225.4 , 348.9 , 387.1 , 425.3 , 492.7 , 655.1 , 749.9 , 802.8 , 876.8 ," 1,110.2 ",,,,,,,,
"East Midlands, Age 50-59",, 417 , 516.9 ,5.3 , 597.9 ,2.5 , 193.9 , 304.8 , 345.0 , 384.1 , 450.1 , 596.7 , 690.2 , 752.1 , 812.1 ," 1,024.7 ",,,,,,,,
"East Midlands, Age 60+",, 185 , 432.1 ,11.2 , 499.5 ,6.6 , 125.5 , 209.2 , 243.9 , 284.6 , 371.2 , 503.9 , 589.3 , 636.3 , 716.3 , 932.4 ,,,,,,,,
West Midlands,E12000005 ," 2,287 ", 517.2 ,5.3 , 583.3 ,0.9 , 179.3 , 296.1 , 349.5 , 384.6 , 448.4 , 593.8 , 697.8 , 755.8 , 809.9 ," 1,015.2 ",,,,,,,,
"West Midlands, Age 18-21",, 92 , 293.4 ,5.3 , 300.7 ,-7.0 , 79.9 , 126.5 , 144.2 , 169.9 , 236.6 , 357.2 , 400.2 , 423.9 , 461.5 , 541.4 ,,,,,,,,
"West Midlands, Age 22-29",, 359 , 477.9 ,5.0 , 493.2 ,-12.1 , 196.1 , 323.4 , 364.1 , 387.8 , 432.1 , 526.9 , 574.9 , 609.0 , 651.6 , 778.2 ,,,,,,,,
"West Midlands, Age 30-39",, 550 , 574.9 ,6.0 , 621.7 ,5.2 , 226.7 , 364.1 , 399.6 , 435.5 , 502.9 , 660.0 , 742.0 , 786.6 , 849.4 ," 1,034.9 ",,,,,,,,
"West Midlands, Age 40-49",, 508 , 594.1 ,5.6 , 666.0 ,2.9 , 235.3 , 365.1 , 402.5 , 435.0 , 507.6 , 702.6 , 797.2 , 843.4 , 909.3 ," 1,145.2 ",,,,,,,,
"West Midlands, Age 50-59",, 527 , 538.3 ,2.4 , 634.3 ,2.8 , 207.7 , 317.8 , 365.6 , 398.2 , 464.2 , 628.6 , 748.0 , 805.5 , 875.7 ," 1,096.3 ",,,,,,,,
"West Midlands, Age 60+",, 228 , 406.2 ,4.4 , 492.6 ,7.1 , 123.4 , 202.1 , 233.3 , 264.4 , 344.0 , 491.4 , 575.0 , 642.1 , 718.4 , 903.6 ,,,,,,,,
East,E12000006," 2,429 ", 517.0 ,5.3 , 591.7 ,4.4 , 168.8 , 267.9 , 325.0 , 373.9 , 446.3 , 597.9 , 697.6 , 766.5 , 829.1 ," 1,047.0 ",,,,,,,,
"East, Age 18-21",, 120 , 280.5 ,10.5 , 290.5 ,9.1 , 59.7 , 113.3 , 139.1 , 160.9 , 212.4 , 340.5 , 381.9 , 400.1 , 425.8 , 505.4 ,,,,,,,,
"East, Age 22-29",, 384 , 498.3 ,7.1 , 513.0 ,6.9 , 193.1 , 335.5 , 376.0 , 398.6 , 451.2 , 536.7 , 593.3 , 626.4 , 670.8 , 804.9 ,,,,,,,,
"East, Age 30-39",, 551 , 574.4 ,7.0 , 623.3 ,4.2 , 202.1 , 322.6 , 379.5 , 421.6 , 494.7 , 657.7 , 756.4 , 805.6 , 874.2 ," 1,061.9 ",,,,,,,,
"East, Age 40-49",, 572 , 582.7 ,5.7 , 666.8 ,4.2 , 200.6 , 312.0 , 374.4 , 417.4 , 498.3 , 678.4 , 793.0 , 857.2 , 936.4 ," 1,190.2 ",,,,,,,,
"East, Age 50-59",, 518 , 555.8 ,6.1 , 656.6 ,4.2 , 193.4 , 294.4 , 346.2 , 386.3 , 465.5 , 649.5 , 770.1 , 833.5 , 907.5 ," 1,149.9 ",,,,,,,,
"East, Age 60+",, 258 , 446.8 ,7.8 , 533.9 ,7.8 , 142.5 , 207.5 , 243.1 , 284.2 , 370.8 , 526.7 , 628.8 , 684.6 , 763.9 , 973.3 ,,,,,,,,
London,E12000007," 4,085 ", 701.6 ,4.6 , 852.6 ,4.5 , 227.8 , 404.4 , 461.4 , 508.3 , 597.9 , 820.2 , 958.2 ," 1,044.5 "," 1,149.9 "," 1,533.2 ",,,,,,,,
"London, Age 18-21",, 121 , 234.6 ,-10.0 , 280.0 ,-2.5 , 77.3 , 122.3 , 139.7 , 153.7 , 189.6 , 329.6 , 389.9 , 418.9 , 448.2 , 498.3 ,,,,,,,,
"London, Age 22-29",, 855 , 614.1 ,4.7 , 664.5 ,-1.4 , 270.9 , 429.9 , 469.2 , 498.3 , 555.8 , 683.0 , 766.6 , 816.9 , 879.2 ," 1,054.1 ",,,,,,,,
"London, Age 30-39",," 1,177 ", 813.7 ,7.3 , 940.5 ,7.3 , 340.9 , 507.5 , 558.7 , 608.2 , 709.1 , 943.1 ," 1,070.7 "," 1,161.7 "," 1,264.4 "," 1,608.4 ",,,,,,,,
"London, Age 40-49",, 911 , 815.6 ,7.5 , 996.3 ,6.7 , 239.6 , 425.4 , 496.7 , 547.8 , 670.8 , 943.1 ," 1,102.3 "," 1,207.2 "," 1,345.2 "," 1,889.7 ",,,,,,,,
"London, Age 50-59",, 701 , 736.6 ,6.5 , 928.9 ,6.2 , 240.1 , 401.0 , 459.9 , 505.9 , 611.1 , 865.8 ," 1,026.2 "," 1,111.7 "," 1,231.3 "," 1,737.1 ",,,,,,,,
"London, Age 60+",, 303 , 540.1 ,2.6 , 704.3 ,3.4 , 172.5 , 266.1 , 338.0 , 385.6 , 468.8 , 652.4 , 772.7 , 860.1 , 954.2 ," 1,323.6 ",,,,,,,,
South East,E12000008," 3,895 ", 549.2 ,4.4 , 630.8 ,3.4 , 179.4 , 305.4 , 364.1 , 402.5 , 478.7 , 637.6 , 745.8 , 808.6 , 888.4 ," 1,136.3 ",,,,,,,,
"South East, Age 18-21",, 167 , 254.2 ,10.0 , 268.8 ,7.5 , 57.8 , 104.6 , 123.5 , 138.0 , 191.4 , 304.9 , 364.1 , 387.4 , 412.7 , 481.9 ,,,,,,,,
"South East, Age 22-29",, 618 , 503.5 ,5.1 , 524.4 ,5.1 , 235.6 , 365.9 , 389.6 , 415.6 , 460.0 , 550.0 , 600.0 , 636.6 , 689.9 , 816.2 ,,,,,,,,
"South East, Age 30-39",, 914 , 617.5 ,7.4 , 670.7 ,6.7 , 240.9 , 394.7 , 436.6 , 470.2 , 536.6 , 697.7 , 795.0 , 862.4 , 919.9 ," 1,104.7 ",,,,,,,,
"South East, Age 40-49",, 893 , 649.6 ,4.3 , 733.8 ,2.3 , 233.2 , 366.6 , 417.4 , 460.0 , 550.0 , 748.0 , 862.4 , 940.4 ," 1,026.9 "," 1,317.5 ",,,,,,,,
"South East, Age 50-59",, 854 , 596.4 ,4.7 , 705.5 ,3.9 , 212.6 , 336.8 , 385.6 , 427.3 , 506.2 , 699.5 , 829.7 , 905.0 , 994.8 ," 1,294.7 ",,,,,,,,
"South East, Age 60+",, 397 , 441.3 ,4.9 , 535.6 ,2.5 , 136.4 , 205.8 , 239.7 , 276.4 , 364.3 , 527.5 , 631.6 , 698.9 , 771.2 ," 1,038.0 ",,,,,,,,
South West,E12000009," 2,264 ", 500.0 ,7.5 , 564.5 ,7.0 , 170.1 , 275.5 , 333.0 , 378.6 , 439.7 , 576.8 , 669.3 , 728.3 , 787.5 , 986.3 ,,,,,,,,
"South West, Age 18-21",, 109 , 244.5 ,15.6 , 258.6 ,7.7 , 57.6 , 97.7 , 121.8 , 148.3 , 192.2 , 284.4 , 359.8 , 382.9 , 394.8 , 473.2 ,,,,,,,,
"South West, Age 22-29",, 348 , 479.1 ,10.6 , 490.0 ,8.7 , 201.6 , 335.2 , 378.4 , 395.9 , 438.8 , 522.5 , 574.9 , 606.8 , 638.8 , 749.7 ,,,,,,,,
"South West, Age 30-39",, 527 , 566.4 ,6.5 , 602.1 ,5.4 , 227.9 , 356.8 , 400.4 , 436.8 , 495.6 , 638.5 , 716.3 , 766.6 , 804.9 , 962.3 ,,,,,,,,
"South West, Age 40-49",, 519 , 584.5 ,7.5 , 664.8 ,8.1 , 230.0 , 356.3 , 394.9 , 432.2 , 496.5 , 672.3 , 788.0 , 855.9 , 919.9 ," 1,149.9 ",,,,,,,,
"South West, Age 50-59",, 493 , 531.5 ,10.4 , 622.0 ,8.3 , 205.2 , 310.2 , 358.8 , 391.0 , 460.2 , 624.5 , 737.7 , 790.1 , 854.4 ," 1,084.8 ",,,,,,,,
"South West, Age 60+",, 237 , 393.0 ,9.2 , 452.9 ,6.2 , 105.2 , 182.3 , 206.9 , 240.2 , 320.2 , 462.3 , 538.2 , 597.9 , 666.7 , 848.9 ,,,,,,,,
Wales,W92000004," 1,178 ", 497.1 ,7.4 , 548.0 ,6.6 , 171.9 , 287.5 , 347.0 , 381.7 , 432.1 , 574.6 , 660.0 , 710.9 , 767.7 , 950.0 ,,,,,,,,
"Wales, Age 18-21",, 52 , 211.3 ,-2.5 , 241.5 ,-5.2 , 50.6 , 91.5 , 107.2 , 117.7 , 170.8 , 261.3 , 331.0 , 358.8 , 376.5 , x ,,,,,,,,
"Wales, Age 22-29",, 175 , 469.0 ,11.3 , 478.6 ,10.2 , 201.7 , 332.8 , 369.0 , 388.2 , 421.7 , 511.7 , 569.2 , 608.4 , 634.7 , 735.9 ,,,,,,,,
"Wales, Age 30-39",, 280 , 548.6 ,9.1 , 582.1 ,6.6 , 230.0 , 370.0 , 394.4 , 417.4 , 484.7 , 618.5 , 697.3 , 742.8 , 785.8 , 961.1 ,,,,,,,,
"Wales, Age 40-49",, 274 , 577.3 ,8.4 , 641.2 ,9.2 , 239.8 , 372.2 , 400.5 , 432.3 , 501.4 , 661.1 , 761.0 , 809.7 , 870.5 ," 1,078.0 ",,,,,,,,
"Wales, Age 50-59",, 272 , 501.8 ,4.2 , 569.2 ,3.3 , 189.7 , 300.5 , 350.0 , 383.3 , 443.1 , 591.7 , 683.0 , 748.0 , 810.5 , 996.6 ,,,,,,,,
"Wales, Age 60+",, 113 , 417.4 ,10.6 , 484.3 ,12.0 , 124.4 , 201.0 , 241.9 , 281.4 , 375.0 , 483.1 , 561.8 , 638.7 , 706.4 , 862.8 ,,,,,,,,
Scotland,S92000003 ," 2,386 ", 526.5 ,4.7 , 596.0 ,4.0 , 181.0 , 298.8 , 354.4 , 393.0 , 457.4 , 613.3 , 709.1 , 778.4 , 832.3 ," 1,031.8 ",,,,,,,,
"Scotland, Age 18-21",, 96 , 240.4 ,3.6 , 267.5 ,6.7 , 84.9 , 120.3 , 135.4 , 158.5 , 195.1 , 286.3 , 346.5 , 374.6 , 400.3 , 479.7 ,,,,,,,,
"Scotland, Age 22-29",, 366 , 493.4 ,7.3 , 513.0 ,7.2 , 179.8 , 322.2 , 371.8 , 395.1 , 440.8 , 549.6 , 614.2 , 644.1 , 697.9 , 823.7 ,,,,,,,,
"Scotland, Age 30-39",, 536 , 571.1 ,5.8 , 614.0 ,3.9 , 221.0 , 357.6 , 398.0 , 431.8 , 493.6 , 643.9 , 738.9 , 793.7 , 848.1 ," 1,025.9 ",,,,,,,,
"Scotland, Age 40-49",, 554 , 621.3 ,3.2 , 693.7 ,3.8 , 252.1 , 383.0 , 420.0 , 458.3 , 528.3 , 716.8 , 813.6 , 866.9 , 929.2 ," 1,156.9 ",,,,,,,,
"Scotland, Age 50-59",, 560 , 564.2 ,6.2 , 647.3 ,4.1 , 209.1 , 327.8 , 377.3 , 410.7 , 483.7 , 646.5 , 780.7 , 830.4 , 899.7 ," 1,111.6 ",,,,,,,,
"Scotland, Age 60+",, 255 , 432.0 ,5.8 , 512.1 ,4.1 , 145.5 , 220.3 , 252.2 , 292.8 , 366.3 , 497.2 , 587.7 , 634.9 , 714.8 , 918.7 ,,,,,,,,
Northern Ireland,N92000002," 1,180 ", 499.2 ,6.2 , 571.4 ,7.4 , 169.6 , 288.6 , 341.5 , 379.7 , 435.9 , 574.9 , 672.3 , 740.3 , 797.7 , 996.6 ,,,,,,,,
Not Classified,,:,,,,,,,,,,,,,,,,,,,,,,
a  Employees on adult rates whose pay for the survey pay-period was not affected by absence.,,,,,,,,,,,,,,,,,,,,,,,,
b  Figures for 16 to 17 year olds include employees not on adult rates of pay.,,,,,,,,,,,,,,,,,,,,,,,,
c  Figures for Number of Jobs are for indicative purposes only and should not be considered an accurate estimate of employee job counts.,,,,,,,,,,,,,,,,,,,,,,,,
"KEY - The colour coding indicates the quality of each estimate;  jobs, median, mean and percentiles but not the annual percentage change. ",,,,,,,,,,,,,,,,,,,,,,,,
"The quality of an estimate is measured by its coefficient of variation (CV), which is the ratio of the standard error of an estimate to the estimate.",,,,,,,,,,,,,,,,,,,,,,,,
"Source: Annual Survey of Hours and Earnings, Office for National Statistics.",,,,,,,,,,,,,,,,,,,,,,,,
