Description,Code,Number_of_jobs_(thousand),Median,Annual_percentage_change,Mean,Annual_percentage_change,Percentiles_10,Percentiles_20,Percentiles_25,Percentiles_30,Percentiles_40,Percentiles_60,Percentiles_70,Percentiles_75,Percentiles_80,Percentiles_90,,,,,,,,
United Kingdom,K02000001,"25,910",479.1,0.0,575.8,0.7,156.8,258.2,304.0,344.9,408.0,565.3,666.9,728.4,800.7,"1,045.2",,,,,,,,
North East,E12000001,896,436.0,-0.5,507.5,0.3,148.1,246.1,287.5,322.9,379.8,504.0,587.4,643.9,717.2,899.0,,Key,Statistical robustness,,,,,
"North East, Age 18-21",,38,184.1,-23.0,215.0,-13.2,41.4,69.7,x,111.0,152.7,242.5,303.6,323.0,336.7,x,, CV <= 5% , Estimates are considered precise  ,,,,,
"North East, Age 22-29",,140,402.5,-3.0,422.2,-3.4,163.8,254.1,290.2,326.2,367.8,460.0,501.1,528.8,568.0,673.8,, CV > 5% and <= 10% , Estimates are considered reasonably precise ,,,,,
"North East, Age 30-39",,210,471.9,-1.6,525.3,-1.5,178.3,284.1,317.6,357.0,406.6,539.2,614.5,676.7,741.0,895.8,, CV > 10% and <= 20% , Estimates are considered acceptable ,,,,,
"North East, Age 40-49",,211,516.6,1.5,597.0,2.7,199.6,299.5,340.8,379.4,445.5,613.0,718.7,766.6,818.0,"1,065.6",, x = CV > 20% , Estimates are considered unreliable for practical purposes ,,,,,
"North East, Age 50-59",,202,449.4,1.9,541.2,1.9,166.7,265.3,306.4,336.4,392.9,516.0,592.9,649.7,726.1,958.9,, .. = disclosive ,,,,,,
"North East, Age 60+",,89,374.5,1.9,466.4,0.2,101.4,187.6,221.1,262.9,320.2,431.5,508.3,553.8,649.0,x,, : = not applicable ,,,,,,
North West,E12000002,"2,653",460.0,1.0,535.9,0.8,156.9,252.8,295.5,335.6,391.3,534.2,631.9,690.0,764.7,966.8,, - = nil or negligible  ,,,,,,
"North West, Age 18-21",,128,210.3,-13.9,241.9,-1.1,71.4,104.6,120.4,139.9,167.0,271.5,318.3,347.6,367.9,422.6,,,,,,,,
"North West, Age 22-29",,440,429.8,2.8,461.0,4.2,181.0,281.3,317.1,340.9,378.3,479.1,536.6,574.9,618.3,765.7,,,,,,,,
"North West, Age 30-39",,637,516.2,3.6,572.2,3.3,200.5,303.6,346.2,378.3,446.1,594.7,688.7,733.1,793.6,965.9,,,,,,,,
"North West, Age 40-49",,603,520.8,-1.7,616.4,-1.4,191.6,301.3,348.8,380.1,452.8,616.0,728.6,795.7,863.5,"1,112.1",,,,,,,,
"North West, Age 50-59",,590,490.9,0.4,597.5,0.1,183.9,277.9,322.2,358.6,421.6,580.6,691.8,764.2,844.3,"1,082.1",,,,,,,,
"North West, Age 60+",,231,353.8,-1.7,416.2,-2.7,106.0,163.1,192.2,227.0,291.7,405.4,479.1,532.3,586.9,780.9,,,,,,,,
Yorkshire and The Humber,E12000003,"2,053",441.2,-0.5,514.7,0.6,152.4,244.4,287.5,325.6,380.0,514.9,597.0,653.0,726.2,919.9,,,,,,,,
"Yorkshire and The Humber, Age 18-21",,96,214.9,-8.1,249.9,5.0,53.9,92.4,108.0,122.8,165.8,283.1,332.9,349.7,364.3,x,,,,,,,,
"Yorkshire and The Humber, Age 22-29",,323,414.1,0.5,440.9,1.3,181.6,281.9,313.9,342.6,373.7,467.1,519.0,549.9,586.4,703.8,,,,,,,,
"Yorkshire and The Humber, Age 30-39",,478,489.7,-2.0,539.0,-1.9,186.5,290.9,333.8,368.4,428.8,557.5,636.1,698.6,756.7,910.6,,,,,,,,
"Yorkshire and The Humber, Age 40-49",,483,515.2,0.5,608.6,2.8,194.1,296.8,335.2,370.7,438.6,601.3,726.2,781.9,852.9,"1,063.8",,,,,,,,
"Yorkshire and The Humber, Age 50-59",,469,460.2,-2.5,553.9,-0.7,176.5,261.6,300.9,337.3,392.2,540.2,632.7,692.3,762.2,995.3,,,,,,,,
"Yorkshire and The Humber, Age 60+",,186,344.9,-1.2,417.3,-2.7,107.2,160.7,184.9,217.8,275.9,404.1,476.8,521.8,572.3,751.3,,,,,,,,
East Midlands,E12000004,"1,722",455.1,3.3,526.4,3.4,157.6,254.0,292.2,329.5,388.1,526.3,613.3,672.7,750.3,938.3,,,,,,,,
"East Midlands, Age 18-21",,80,213.8,-12.0,238.2,-6.8,45.9,84.4,105.8,127.4,177.2,268.6,306.6,325.8,343.8,x,,,,,,,,
"East Midlands, Age 22-29",,273,421.6,1.9,448.3,4.2,194.2,297.8,328.0,348.8,385.5,474.4,519.7,551.0,583.8,702.2,,,,,,,,
"East Midlands, Age 30-39",,390,498.9,1.4,555.3,1.9,195.3,305.4,343.3,372.9,439.1,578.8,664.8,723.5,776.8,945.7,,,,,,,,
"East Midlands, Age 40-49",,404,524.2,5.2,612.7,4.6,190.3,287.0,335.5,370.4,439.0,616.2,730.4,784.1,852.6,"1,080.5",,,,,,,,
"East Midlands, Age 50-59",,395,478.6,1.7,570.5,2.3,168.3,269.3,305.8,347.9,407.0,559.9,650.5,726.2,797.7,"1,024.3",,,,,,,,
"East Midlands, Age 60+",,169,357.2,-2.7,439.2,-0.1,113.8,171.8,199.9,228.1,291.9,441.5,519.1,574.9,630.2,876.0,,,,,,,,
West Midlands,E12000005 ,"2,086",460.0,0.4,535.9,1.1,157.0,251.4,295.1,335.0,392.4,532.8,622.9,683.3,753.1,951.5,,,,,,,,
"West Midlands, Age 18-21",,95,215.7,-12.1,243.2,-2.0,54.5,92.7,106.2,124.0,174.4,258.2,316.1,336.8,355.5,x,,,,,,,,
"West Midlands, Age 22-29",,328,425.5,2.0,473.1,8.9,191.0,288.3,327.2,345.6,383.3,472.5,525.6,563.1,592.1,708.9,,,,,,,,
"West Midlands, Age 30-39",,489,510.2,1.1,559.2,2.0,196.2,303.5,348.7,380.7,444.3,579.9,684.2,728.3,781.9,936.5,,,,,,,,
"West Midlands, Age 40-49",,486,530.2,0.0,617.2,-0.7,198.8,297.8,343.7,378.5,447.6,622.9,732.8,787.6,858.4,"1,098.7",,,,,,,,
"West Midlands, Age 50-59",,471,493.8,-0.9,595.4,-2.2,184.0,281.6,321.8,356.4,421.5,575.8,680.6,749.3,820.8,"1,080.5",,,,,,,,
"West Midlands, Age 60+",,197,350.4,-1.6,428.1,-0.1,103.6,169.4,196.9,223.0,289.8,424.4,497.0,552.0,612.7,800.2,,,,,,,,
East,E12000006,"2,279",460.0,-0.9,533.5,-1.8,129.1,224.2,272.3,320.0,388.2,533.9,622.7,684.4,760.3,977.4,,,,,,,,
"East, Age 18-21",,118,221.1,-11.3,232.3,-11.3,52.2,89.8,103.9,119.2,164.9,268.9,317.6,335.7,356.0,420.3,,,,,,,,
"East, Age 22-29",,359,439.6,-1.0,451.4,-2.3,151.0,275.9,318.4,346.9,386.4,481.7,536.1,574.9,604.0,728.3,,,,,,,,
"East, Age 30-39",,512,507.9,-0.9,559.9,-0.7,160.6,269.1,321.9,367.6,436.4,576.9,667.5,722.8,794.6,979.8,,,,,,,,
"East, Age 40-49",,535,527.9,-1.6,615.7,-2.5,165.4,263.4,329.1,373.6,447.4,611.1,752.5,804.9,881.6,"1,149.9",,,,,,,,
"East, Age 50-59",,489,496.4,-1.7,607.5,-0.5,168.3,258.1,307.2,349.8,420.0,581.0,690.4,762.6,831.0,"1,117.2",,,,,,,,
"East, Age 60+",,239,380.5,-0.7,463.6,-0.9,96.2,167.3,199.2,232.6,311.7,456.3,543.7,584.3,661.9,887.5,,,,,,,,
London,E12000007,"3,895",639.9,0.6,798.6,1.4,196.2,343.4,401.1,450.8,546.2,760.8,901.2,994.9,"1,109.2","1,500.6",,,,,,,,
"London, Age 18-21",,111,239.9,-14.1,279.3,-1.8,65.1,104.6,122.5,140.8,187.0,306.8,353.1,379.0,399.2,480.1,,,,,,,,
"London, Age 22-29",,846,568.5,2.1,619.7,2.4,242.6,368.0,407.6,442.5,506.7,632.4,720.3,767.8,837.9,"1,015.7",,,,,,,,
"London, Age 30-39",,"1,100",728.3,0.0,862.2,1.2,265.2,424.8,483.3,536.6,624.8,841.6,998.0,"1,091.1","1,206.7","1,533.2",,,,,,,,
"London, Age 40-49",,885,742.2,-1.1,944.0,0.0,209.3,358.6,425.4,490.9,600.3,888.9,"1,054.0","1,172.9","1,322.4","1,836.3",,,,,,,,
"London, Age 50-59",,685,699.1,4.0,884.0,2.0,192.1,344.6,407.2,463.1,574.9,832.3,986.8,"1,103.8","1,245.7","1,742.6",,,,,,,,
"London, Age 60+",,256,477.4,-0.1,643.2,-1.6,138.8,219.1,262.5,314.0,401.2,574.9,715.3,804.8,899.0,"1,255.8",,,,,,,,
South East,E12000008,"3,887",496.7,-0.3,581.2,-1.4,157.1,260.7,308.4,350.0,421.6,575.8,684.0,747.4,823.6,"1,074.1",,,,,,,,
"South East, Age 18-21",,173,220.0,-11.1,242.3,-6.1,48.3,87.1,108.3,127.3,165.7,279.5,327.4,344.0,364.9,445.6,,,,,,,,
"South East, Age 22-29",,613,453.2,-1.5,466.7,-1.7,183.8,295.2,330.2,354.2,402.5,498.3,548.3,576.0,624.7,729.7,,,,,,,,
"South East, Age 30-39",,935,555.8,0.7,607.8,-0.9,205.7,326.9,367.9,404.1,479.1,633.6,726.8,780.4,842.5,"1,032.2",,,,,,,,
