Description,Code,Number_of_jobs_(thousand),Median,Annual_percentage_change,Mean,Annual_percentage_change,Percentiles_10,Percentiles_20,Percentiles_25,Percentiles_30,Percentiles_40,Percentiles_60,Percentiles_70,Percentiles_75,Percentiles_80,Percentiles_90,,,,,,,,
"South East, Age 40-49",,935,584.8,-1.9,687.3,-1.4,203.2,318.8,368.0,411.1,493.5,689.9,812.7,883.8,977.7,"1,294.3",,,,,,,,
"South East, Age 50-59",,822,543.0,1.2,655.5,-0.4,182.4,289.0,339.8,376.5,460.0,639.3,766.6,841.6,947.6,"1,212.9",,,,,,,,
"South East, Age 60+",,368,383.3,1.9,483.3,-2.5,111.6,165.7,191.5,222.4,306.2,457.5,557.3,610.5,685.6,988.1,,,,,,,,
South West,E12000009,"2,145",437.0,-0.4,517.7,2.4,137.2,226.5,269.1,307.8,373.7,509.3,595.4,648.2,719.6,911.4,,,,,,,,
"South West, Age 18-21",,108,201.9,-9.8,222.2,-4.2,43.3,78.1,96.2,114.2,158.3,248.6,298.8,324.5,346.6,406.7,,,,,,,,
"South West, Age 22-29",,334,416.9,-0.9,437.1,0.4,176.0,276.2,306.6,334.9,376.4,466.8,519.7,557.7,594.0,689.5,,,,,,,,
"South West, Age 30-39",,480,488.0,0.2,535.0,0.9,185.1,295.4,336.6,366.4,431.3,558.2,639.7,687.9,747.4,903.6,,,,,,,,
"South West, Age 40-49",,496,515.6,-0.2,598.4,0.6,177.7,285.2,327.4,364.1,440.8,599.5,720.3,776.0,851.5,"1,091.1",,,,,,,,
"South West, Age 50-59",,471,464.9,1.1,620.2,9.9,157.2,248.8,287.5,330.6,392.4,548.3,638.6,714.2,785.7,"1,019.5",,,,,,,,
"South West, Age 60+",,229,329.1,-3.2,404.3,-1.3,93.7,147.4,170.8,191.8,256.1,393.7,475.3,528.3,598.9,766.6,,,,,,,,
Wales,W92000004,"1,137",445.2,1.0,499.9,0.6,154.1,255.6,293.0,328.2,381.9,515.4,601.2,658.4,721.6,872.8,,,,,,,,
"Wales, Age 18-21",,47,184.3,-14.5,221.6,-4.8,47.7,74.7,89.3,103.6,143.4,233.5,305.9,330.9,353.3,x,,,,,,,,
"Wales, Age 22-29",,175,405.2,0.7,426.7,1.4,176.5,272.2,296.1,325.6,360.1,458.5,506.0,538.3,572.1,674.2,,,,,,,,
"Wales, Age 30-39",,263,496.4,3.6,532.9,1.3,190.3,302.8,340.0,373.7,423.3,564.4,636.3,706.4,757.6,894.2,,,,,,,,
"Wales, Age 40-49",,267,523.9,4.8,578.1,1.5,209.3,307.7,343.4,373.6,446.3,614.0,706.7,763.1,809.8,948.7,,,,,,,,
"Wales, Age 50-59",,271,456.8,-0.7,526.9,-1.3,180.0,275.8,310.8,341.1,393.5,532.5,622.9,681.1,745.1,922.7,,,,,,,,
"Wales, Age 60+",,104,364.2,-0.9,432.3,-1.5,102.6,170.2,205.2,231.4,301.7,413.6,505.1,556.4,631.3,x,,,,,,,,
Scotland,S92000003 ,"2,155",482.4,2.5,557.1,2.7,160.0,267.0,314.0,351.0,413.0,564.3,658.8,716.8,786.9,972.8,,,,,,,,
"Scotland, Age 18-21",,93,211.3,-1.0,239.6,1.2,61.0,97.3,110.8,131.7,162.7,260.6,332.1,353.9,380.1,426.1,,,,,,,,
"Scotland, Age 22-29",,312,438.4,2.2,454.3,2.1,148.9,268.5,312.5,345.0,389.7,490.6,544.2,584.0,632.3,724.2,,,,,,,,
"Scotland, Age 30-39",,493,536.7,3.2,578.9,1.1,196.5,318.5,360.0,395.2,466.0,613.3,689.9,749.4,793.7,964.8,,,,,,,,
"Scotland, Age 40-49",,518,564.7,1.3,652.2,4.4,216.6,332.7,373.9,405.0,482.9,659.1,768.7,809.4,870.9,"1,137.3",,,,,,,,
"Scotland, Age 50-59",,519,507.2,-0.1,607.2,1.3,187.2,291.9,331.2,365.3,433.2,594.9,712.7,781.9,838.6,"1,079.3",,,,,,,,
"Scotland, Age 60+",,206,390.0,1.1,467.0,0.2,118.4,189.5,229.9,263.3,330.1,455.7,525.3,574.9,639.2,823.3,,,,,,,,
Northern Ireland,N92000002,"1,002",432.0,0.8,496.3,-0.2,148.6,239.6,279.0,311.3,371.9,497.4,590.2,642.1,714.3,874.5,,,,,,,,
Not Classified,,:,,,,,,,,,,,,,,,,,,,,,,
a  Employees on adult rates whose pay for the survey pay-period was not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS).,,,,,,,,,,,,,,,,,,,,,,,,
b  Figures for Number of Jobs are for indicative purposes only and should not be considered an accurate estimate of employee job counts.,,,,,,,,,,,,,,,,,,,,,,,,
"KEY - The colour coding indicates the quality of each estimate;  jobs, median, mean and percentiles but not the annual percentage change. ",,,,,,,,,,,,,,,,,,,,,,,,
"The quality of an estimate is measured by its coefficient of variation (CV), which is the ratio of the standard error of an estimate to the estimate.",,,,,,,,,,,,,,,,,,,,,,,,
"Source: Annual Survey of Hours and Earnings, Office for National Statistics.",,,,,,,,,,,,,,,,,,,,,,,,
