Description,Code,Number_of_jobs_(thousand),Median,Annual_percentage_change,Mean,Annual_percentage_change,Percentiles_10,Percentiles_20,Percentiles_25,Percentiles_30,Percentiles_40,Percentiles_60,Percentiles_70,Percentiles_75,Percentiles_80,Percentiles_90,,,,,,,,
"East, Age 30-39",,547,536.6,,598.2,,184.4,303.8,357.2,395.7,466.8,616.1,710.3,774.2,838.3,"1,023.0",,,,,,,,
"East, Age 40-49",,586,551.2,,640.2,,184.2,294.5,344.6,387.7,470.5,651.2,766.6,825.7,908.0,"1,143.7",,,,,,,,
"East, Age 50-59",,532,523.8,,630.0,,182.2,274.8,323.3,365.8,440.8,609.6,732.5,798.2,873.6,"1,135.8",,,,,,,,
"East, Age 60+",,255,414.4,,495.3,,114.3,183.3,216.1,254.0,349.3,498.8,575.2,625.6,690.1,915.5,,,,,,,,
London,E12000007,"3,968",670.7,,815.8,,213.1,369.0,428.6,476.3,572.3,772.9,915.0,996.6,"1,103.5","1,472.9",,,,,,,,
"London, Age 18-21",,107,260.6,,287.3,,70.5,115.0,135.9,158.4,205.6,320.8,386.6,403.8,431.0,530.9,,,,,,,,
"London, Age 22-29",,823,586.4,,674.1,,254.9,401.2,440.8,470.7,533.5,654.2,735.7,785.8,857.1,"1,038.6",,,,,,,,
"London, Age 30-39",,"1,127",758.1,,876.7,,278.3,446.5,500.1,552.8,655.4,869.5,"1,009.6","1,095.9","1,207.4","1,563.4",,,,,,,,
"London, Age 40-49",,905,758.4,,933.3,,219.4,373.7,439.1,508.5,628.6,895.7,"1,054.1","1,151.0","1,278.3","1,782.3",,,,,,,,
"London, Age 50-59",,712,691.7,,874.5,,213.1,367.1,426.3,475.6,579.0,818.9,958.5,"1,052.8","1,160.0","1,606.7",,,,,,,,
"London, Age 60+",,286,526.6,,681.4,,168.3,260.8,323.1,368.3,448.5,642.9,764.5,860.3,952.3,"1,277.2",,,,,,,,
South East,E12000008,"4,066",526.2,,610.3,,170.6,289.8,345.0,381.0,455.1,611.8,721.6,779.6,861.4,"1,103.6",,,,,,,,
"South East, Age 18-21",,163,231.0,,250.1,,57.2,95.2,114.9,133.9,182.2,289.3,345.0,368.0,387.8,460.0,,,,,,,,
"South East, Age 22-29",,639,479.1,,499.1,,219.7,343.8,368.0,391.0,438.9,529.0,576.3,613.1,652.5,774.2,,,,,,,,
"South East, Age 30-39",,948,574.9,,628.7,,228.1,356.1,393.8,429.5,499.5,659.8,760.0,809.8,875.6,"1,056.5",,,,,,,,
"South East, Age 40-49",,968,622.5,,717.6,,210.3,346.1,395.6,440.8,529.0,733.3,852.4,924.6,"1,007.2","1,319.4",,,,,,,,
"South East, Age 50-59",,895,569.8,,679.0,,195.8,313.1,363.8,402.8,483.7,670.8,784.4,855.9,957.8,"1,246.6",,,,,,,,
"South East, Age 60+",,422,420.8,,522.5,,126.8,188.9,230.0,265.4,347.6,510.0,613.3,694.0,766.6,"1,042.3",,,,,,,,
South West,E12000009,"2,278",465.1,,527.7,,157.8,249.5,300.0,344.9,402.7,536.6,621.3,671.9,741.5,939.7,,,,,,,,
"South West, Age 18-21",,110,211.6,,240.1,,57.1,95.6,114.9,128.3,171.7,271.3,326.6,350.8,373.8,435.1,,,,,,,,
"South West, Age 22-29",,353,433.3,,450.8,,197.4,297.0,337.5,363.3,394.3,479.1,529.0,556.1,586.7,683.2,,,,,,,,
"South West, Age 30-39",,515,531.7,,571.2,,210.4,334.1,367.6,401.9,465.9,595.6,677.6,728.4,780.6,951.2,,,,,,,,
"South West, Age 40-49",,527,543.5,,615.1,,193.1,311.9,357.2,397.6,468.6,623.1,728.6,788.3,860.5,"1,053.8",,,,,,,,
"South West, Age 50-59",,512,481.3,,574.2,,174.1,272.5,315.8,356.4,417.7,564.6,664.1,728.3,802.1,"1,049.7",,,,,,,,
"South West, Age 60+",,241,360.0,,426.6,,104.9,168.3,190.2,219.2,287.5,418.8,501.9,560.1,632.8,801.5,,,,,,,,
Wales,W92000004,"1,194",463.0,,514.3,,168.3,266.0,310.6,348.3,402.7,531.0,614.6,667.1,729.9,891.9,,,,,,,,
"Wales, Age 18-21",,48,216.6,,254.8,,54.6,84.4,106.7,132.4,176.9,276.6,327.3,356.3,371.0,x,,,,,,,,
"Wales, Age 22-29",,183,421.4,,434.4,,168.3,263.1,308.9,340.5,379.7,462.5,517.8,545.9,576.1,680.9,,,,,,,,
"Wales, Age 30-39",,280,502.9,,546.0,,220.1,322.4,359.5,383.3,442.8,576.7,649.4,704.5,759.6,902.0,,,,,,,,
"Wales, Age 40-49",,278,532.7,,587.2,,203.1,323.8,361.4,394.2,462.8,612.2,717.0,772.3,824.3,979.7,,,,,,,,
"Wales, Age 50-59",,285,481.7,,551.0,,190.2,280.5,327.0,361.5,417.5,557.6,651.8,726.2,788.3,987.1,,,,,,,,
"Wales, Age 60+",,114,377.5,,432.3,,132.0,189.6,223.8,250.4,317.2,426.4,522.0,566.9,637.2,765.5,,,,,,,,
Scotland,S92000003 ,"2,227",503.0,,573.0,,173.9,280.3,331.7,368.7,437.2,585.7,684.7,748.7,799.7,986.7,,,,,,,,
"Scotland, Age 18-21",,90,232.1,,250.6,,70.3,98.0,116.7,134.2,181.9,290.7,331.5,358.8,378.9,451.2,,,,,,,,
"Scotland, Age 22-29",,341,460.0,,478.7,,175.3,272.1,320.8,358.1,405.4,518.8,579.7,623.3,664.3,759.0,,,,,,,,
"Scotland, Age 30-39",,493,539.6,,590.9,,216.2,337.6,376.9,410.1,475.3,627.7,718.0,769.4,809.4,986.9,,,,,,,,
"Scotland, Age 40-49",,534,601.8,,668.5,,237.6,360.1,402.2,441.3,515.6,699.3,793.7,822.5,895.7,"1,101.9",,,,,,,,
"Scotland, Age 50-59",,531,531.5,,621.8,,193.8,302.4,351.2,382.7,453.1,627.8,746.1,801.3,862.4,"1,069.8",,,,,,,,
"Scotland, Age 60+",,224,408.3,,492.1,,135.7,203.6,239.3,271.6,348.1,473.7,554.8,600.2,685.4,858.5,,,,,,,,
Northern Ireland,N92000002,"1,078",470.0,,532.2,,156.1,262.4,306.6,346.1,405.3,548.1,637.8,694.2,751.3,933.9,,,,,,,,
Not Classified,,:,,,,,,,,,,,,,,,,,,,,,,
a  Employees on adult rates whose pay for the survey pay-period was not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS).,,,,,,,,,,,,,,,,,,,,,,,,
b  Figures for Number of Jobs are for indicative purposes only and should not be considered an accurate estimate of employee job counts.,,,,,,,,,,,,,,,,,,,,,,,,
"KEY - The colour coding indicates the quality of each estimate;  jobs, median, mean and percentiles but not the annual percentage change. ",,,,,,,,,,,,,,,,,,,,,,,,
"The quality of an estimate is measured by its coefficient of variation (CV), which is the ratio of the standard error of an estimate to the estimate.",,,,,,,,,,,,,,,,,,,,,,,,
"Source: Annual Survey of Hours and Earnings, Office for National Statistics.",,,,,,,,,,,,,,,,,,,,,,,,
