Description,Code,Number_of_jobs_(thousand),Median,Annual_percentage_change,Mean,Annual_percentage_change,Percentiles_10,Percentiles_20,Percentiles_25,Percentiles_30,Percentiles_40,Percentiles_60,Percentiles_70,Percentiles_75,Percentiles_80,Percentiles_90,,,,,,,,
United Kingdom,K02000001,"27,645",574.9,7.7,669.9,7.5,195.5,330.1,393.8,432.4,502.0,665.5,775.6,840.1,919.9,"1,182.7",,,,,,,,
North East,E12000001,"1,007",519.3,8.0,580.3,7.1,196.0,312.6,368.1,407.4,460.0,585.9,678.1,734.9,800.9,979.9,,Key,Statistical robustness,,,,,
"North East, Age 18-21",,46,303.5,25.7,304.4,19.3,66.6,125.5,162.2,194.4,247.7,378.2,410.9,421.6,438.2,x,, CV <= 5% , Estimates are considered precise  ,,,,,
"North East, Age 22-29",,169,498.3,7.8,503.8,5.0,216.4,357.3,389.4,413.2,452.1,538.9,585.8,625.0,659.6,766.6,, CV > 5% and <= 10% , Estimates are considered reasonably precise ,,,,,
"North East, Age 30-39",,233,572.9,9.5,605.9,7.2,230.5,367.7,412.8,437.8,505.9,636.0,715.7,775.6,840.4,987.9,, CV > 10% and <= 20% , Estimates are considered acceptable ,,,,,
"North East, Age 40-49",,233,596.0,7.3,678.0,7.9,250.0,401.0,435.7,463.0,520.7,696.6,811.1,856.8,930.1,"1,120.9",, x = CV > 20% , Estimates are considered unreliable for practical purposes ,,,,,
"North East, Age 50-59",,209,534.5,7.6,627.2,6.0,228.7,322.5,377.5,412.5,470.6,613.3,722.5,777.9,834.2,"1,071.3",, .. = disclosive ,,,,,,
"North East, Age 60+",,109,433.7,8.5,492.5,3.8,142.6,215.4,252.5,289.8,373.9,490.7,557.2,615.9,682.5,x,, : = not applicable ,,,,,,
North West,E12000002,"2,904",552.2,9.4,626.9,7.9,198.0,330.3,389.4,422.6,484.5,634.7,733.6,793.9,862.4,"1,091.6",, - = nil or negligible  ,,,,,,
"North West, Age 18-21",,129,246.3,5.5,280.8,5.9,68.5,109.2,133.8,151.2,192.6,317.2,380.7,402.7,425.6,519.5,,,,,,,,
"North West, Age 22-29",,497,517.5,9.1,547.4,8.5,252.2,389.4,415.9,434.5,476.3,569.7,631.2,666.6,706.2,839.5,,,,,,,,
"North West, Age 30-39",,711,610.6,7.7,666.0,7.1,257.0,402.0,437.8,469.5,538.1,682.5,781.6,837.2,900.8,"1,113.5",,,,,,,,
"North West, Age 40-49",,652,639.5,9.4,721.4,6.9,250.1,397.6,436.1,470.2,540.5,737.0,830.8,900.6,977.8,"1,207.5",,,,,,,,
"North West, Age 50-59",,604,597.5,10.3,699.8,10.3,245.1,380.5,420.4,455.6,521.2,681.8,809.3,888.2,962.7,"1,202.2",,,,,,,,
"North West, Age 60+",,276,441.7,11.1,511.9,7.0,146.1,219.8,254.4,294.4,385.5,508.0,603.7,665.0,728.3,952.0,,,,,,,,
Yorkshire and The Humber,E12000003,"2,133",536.6,8.0,604.6,7.4,188.8,312.6,373.8,414.0,473.5,613.3,705.3,768.7,837.2,"1,058.8",,,,,,,,
"Yorkshire and The Humber, Age 18-21",,100,280.2,10.7,292.5,11.2,63.3,112.3,130.5,149.8,204.7,344.0,398.9,423.1,450.4,527.0,,,,,,,,
"Yorkshire and The Humber, Age 22-29",,344,500.5,5.3,513.4,3.6,226.1,372.5,403.4,421.7,460.0,542.0,592.3,619.1,655.4,779.2,,,,,,,,
"Yorkshire and The Humber, Age 30-39",,520,592.8,10.5,643.3,8.2,240.9,380.3,421.6,460.0,521.8,671.2,772.6,827.1,881.6,"1,087.4",,,,,,,,
